stop_id,stop_name,stop_lat,stop_lon,zone_id
"at:49:753:0:3","Laudongasse","48.21325212","16.34990411","0100"
"at:49:753:0:4","Laudongasse","48.21340178","16.34834104","0100"
"at:49:753:0:6","Laudongasse","48.21324614","16.34805358","0100"
"at:49:754:0:1","Laurentiusplatz","48.20199119","16.30793482","0100"
"at:49:754:0:2","Laurentiusplatz","48.20175769","16.30859059","0100"
"at:49:755:0:1","Laurenzgasse","48.18588274","16.36292070","0100"
"at:49:755:0:2","Laurenzgasse","48.18584082","16.36301053","0100"
"at:49:755:0:3","Laurenzgasse","48.18529580","16.36229188","0100"
"at:49:755:0:4","Laurenzgasse","48.18602050","16.36332494","0100"
"at:49:757:0:1","Pulkaugasse","48.28297159","16.45325529","0100"
"at:49:758:0:1","Lavantgasse/Schule","48.28218849","16.44984169","0100"
"at:49:758:0:2","Lavantgasse/Schule","48.28229011","16.45028186","0100"
"at:49:759:0:1","Schönbrunner Allee","48.13571053","16.32492196","0100"
"at:49:759:0:2","Schönbrunner Allee","48.13567456","16.32503874","0100"
"at:49:760:0:1","Laxenburger Straße/Troststraße","48.16854104","16.37046655","0100"
"at:49:760:0:3","Laxenburger Straße/Troststraße","48.16916412","16.36999942","0100"
"at:49:760:0:4","Laxenburger Straße/Troststraße","48.16912219","16.36958620","0100"
"at:49:760:0:5","Laxenburger Straße/Troststraße","48.16862492","16.37014316","0100"
"at:49:760:0:6","Laxenburger Straße/Troststraße","48.16940377","16.36884060","0100"
"at:49:761:0:1","Grenzackerstraße","48.16549740","16.36885856","0100"
"at:49:761:0:3","Grenzackerstraße","48.16479638","16.36894840","0100"
"at:49:761:0:4","Grenzackerstraße","48.16466456","16.36798720","0100"
"at:49:761:0:5","Grenzackerstraße","48.16520980","16.36776262","0100"
"at:49:762:0:2","Lazarettgasse","48.21859137","16.35161989","0100"
"at:49:762:0:4","Lazarettgasse","48.21921983","16.35181752","0100"
"at:49:763:0:2","St. Marx S/Leberstr.","48.18781722","16.39969773","0100"
"at:49:764:0:1","Lebingergasse","48.20403283","16.29011225","0100"
"at:49:764:0:2","Lebingergasse","48.20406876","16.28989665","0100"
"at:49:765:0:1","Lechnerstraße","48.19659034","16.40483609","0100"
"at:49:765:0:2","Lechnerstraße","48.19668615","16.40484507","0100"
"at:49:766:0:1","Rosenbergstraße","48.21791502","16.52845326","0100"
"at:49:767:0:1","Himmelteich","48.22557584","16.52056605","0100"
"at:49:767:0:2","Himmelteich","48.22555191","16.52069181","0100"
"at:49:768:0:1","Leibenfrostgasse","48.18995525","16.36232781","0100"
"at:49:768:0:2","Leibenfrostgasse","48.18995525","16.36365732","0100"
"at:49:769:0:1","Leopoldau","48.27816517","16.45145865","0100"
"at:49:769:0:2","Leopoldau","48.27684990","16.45065017","0100"
"at:49:769:0:5","Leopoldau","48.27755537","16.45208748","0100"
"at:49:769:0:6","Leopoldau","48.27761515","16.45205154","0100"
"at:49:769:0:7","Leopoldau","48.27695751","16.45061424","0100"
"at:49:769:0:9","Leopoldau","48.27754341","16.44869184","0100"
"at:49:77:0:2","Arbeitergasse/Gürtel","48.18407397","16.34561915","0100"
"at:49:77:0:3","Arbeitergasse/Gürtel","48.18362476","16.34561016","0100"
"at:49:77:0:4","Arbeitergasse/Gürtel","48.18393621","16.34582576","0100"
"at:49:77:0:6","Arbeitergasse/Gürtel","48.18388830","16.34640967","0100"
"at:49:77:0:7","Arbeitergasse/Gürtel","48.18441537","16.34561915","0100"
"at:49:77:0:8","Arbeitergasse/Gürtel","48.18445729","16.34571796","0100"
"at:49:770:0:1","Alfred-Pischof-Gasse","48.21966873","16.52915394","0100"
"at:49:771:0:1","Leopoldauer Platz","48.26367740","16.44130769","0100"
"at:49:771:0:2","Leopoldauer Platz","48.26314517","16.44053514","0100"
"at:49:771:0:3","Leopoldauer Platz","48.26326477","16.44143346","0100"
"at:49:771:0:4","Leopoldauer Platz","48.26350398","16.44050819","0100"
"at:49:772:0:1","Resedaweg","48.23389373","16.49483830","0100"
"at:49:773:0:1","Leopoldauer Straße","48.26266675","16.43575610","0100"
"at:49:773:0:2","Leopoldauer Straße","48.26218235","16.43650171","0100"
"at:49:774:0:1","Leopoldigasse","48.14145349","16.29173820","0100"
"at:49:774:0:2","Leopoldigasse","48.14187909","16.29113633","0100"
"at:49:774:0:3","Leopoldigasse","48.14190307","16.29172023","0100"
"at:49:774:0:4","Leopoldigasse","48.14148946","16.29242092","0100"
"at:49:775:0:1","Leopoldsberg","48.27889453","16.34440642","0100"
"at:49:776:0:1","Leopoldsdorfer Straße","48.13793465","16.39937433","0100"
"at:49:776:0:2","Leopoldsdorfer Straße","48.13833631","16.39968874","0100"
"at:49:776:0:3","Leopoldsdorfer Straße","48.13802458","16.39986841","0100"
"at:49:777:0:2","Auerspergstraße","48.20703827","16.35619232","0100"
"at:49:777:0:4","Auerspergstraße","48.20664314","16.35484485","0100"
"at:49:777:0:5","Auerspergstraße","48.20676287","16.35523112","0100"
"at:49:778:0:2","Kapellenweg","48.21877692","16.47069158","0100"
"at:49:778:0:3","Kapellenweg","48.21868115","16.46970344","0100"
"at:49:778:0:5","Kapellenweg","48.21881283","16.46989208","0100"
